Unnamed: 0,logFC,AveExpr,t,P.Value,adj.P.Val,B,description,Gene_Symbol,Description,Function_Summary,KEGG_Terms,GO_Terms
HSP104,5.81762630282609,8.48072213937486,54.9736867079414,1.5697311036027102e-15,4.50826772954697e-12,26.0111158003788,"Disaggregase; heat shock protein that cooperates with Ydj1p (Hsp40) and Ssa1p (Hsp70) to refold and reactivate previously denatured, aggregated proteins; responsive to stresses including: heat, ethanol, and sodium arsenite; involved in [PSI+] propagation; protein becomes more abundant and forms cytoplasmic foci in response to DNA replication stress; potentiated Hsp104p variants decrease TDP-43 proteotoxicity by eliminating its cytoplasmic aggregation [Source:SGD;Acc:S000003949]",HSP104,"Enables several functions, including ATP hydrolysis activity; adenyl ribonucleotide binding activity; and unfolded protein binding activity. Involved in several processes, including cellular heat acclimation; protein folding; and protein unfolding. Located in cytoplasm and nuclear periphery. Part of TRC complex. Human ortholog(s) of this gene implicated in 3-methylglutaconic aciduria type 7a; 3-methylglutaconic aciduria type 7b; and severe congenital neutropenia. Orthologous to human CLPB (ClpB family mitochondrial disaggregase). [provided by Alliance of Genome Resources, Apr 2025]","Enables several functions, including ATP hydrolysis activity; adenyl ribonucleotide binding activity; and unfolded protein binding activity. Involved in several processes, including cellular heat acclimation; protein folding; and protein unfolding. Located in cytoplasm and nuclear periphery. Part of TRC complex. Human ortholog(s) of this gene implicated in 3-methylglutaconic aciduria type 7a; 3-methylglutaconic aciduria type 7b; and severe congenital neutropenia. Orthologous to human CLPB (ClpB family mitochondrial disaggregase). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
UBI4,5.79153867389567,7.61658108926935,50.3319582355107,4.4047725645965406e-15,5.06020272220851e-12,24.9612597101975,"Ubiquitin; becomes conjugated to proteins, marking them for selective degradation via the ubiquitin-26S proteasome system; essential for the cellular stress response; encoded as a polyubiquitin precursor comprised of 5 head-to-tail repeats; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000003962]",UBI4,"Enables protein tag activity. Involved in protein ubiquitination. Located in peroxisome. Orthologous to human UBC (ubiquitin C). [provided by Alliance of Genome Resources, Jul 2025]","Enables protein tag activity. Involved in protein ubiquitination. Located in peroxisome. Orthologous to human UBC (ubiquitin C). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
PGM2,7.09005095424477,7.74171470380446,47.748751911693,8.154525468410101e-15,6.60978017388609e-12,24.29425630426,"Phosphoglucomutase; catalyzes the conversion from glucose-1-phosphate to glucose-6-phosphate, which is a key step in hexose metabolism; functions as the acceptor for a Glc-phosphotransferase; protein abundance increases in response to DNA replication stress; PGM2 has a paralog, PGM1, that arose from the whole genome duplication [Source:SGD;Acc:S000004711]",PGM2,"Enables phosphoglucomutase activity. Involved in several processes, including UDP-alpha-D-glucose metabolic process; carbohydrate biosynthetic process; and glucose 1-phosphate metabolic process. Located in cytoplasm. Used to study congenital disorder of glycosylation It. Human ortholog(s) of this gene implicated in congenital disorder of glycosylation It; endometrial cancer; and teratoma. Orthologous to several human genes including PGM5 (phosphoglucomutase 5). [provided by Alliance of Genome Resources, Jul 2025]","Enables phosphoglucomutase activity. Involved in several processes, including UDP-alpha-D-glucose metabolic process; carbohydrate biosynthetic process; and glucose 1-phosphate metabolic process. Located in cytoplasm. Used to study congenital disorder of glycosylation It. Human ortholog(s) of this gene implicated in congenital disorder of glycosylation It; endometrial cancer; and teratoma. Orthologous to several human genes including PGM5 (phosphoglucomutase 5). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
GPD1,4.27954635447458,8.86930051648156,47.6871683259587,8.2784469763065e-15,6.60978017388609e-12,24.5531475656316,"NAD-dependent glycerol-3-phosphate dehydrogenase; key enzyme of glycerol synthesis, essential for growth under osmotic stress; expression regulated by high-osmolarity glycerol response pathway; protein abundance increases in response to DNA replication stress; constitutively inactivated via phosphorylation by the protein kinases Ypk1p and Ypk2p, dephosphorylation increases catalytic activity; forms a heterodimer with Pnc1p to facilitate its peroxisomal import [Source:SGD;Acc:S000002180]",GPD1,"Enables glycerol-3-phosphate dehydrogenase [NAD(P)+] activity. Involved in intracellular accumulation of glycerol and protein import into peroxisome matrix. Located in cytosol; nucleus; and peroxisome. Human ortholog(s) of this gene implicated in Brugada syndrome 2. Orthologous to human GPD1 (glycerol-3-phosphate dehydrogenase 1) and GPD1L (glycerol-3-phosphate dehydrogenase 1 like). [provided by Alliance of Genome Resources, Jul 2025]","Enables glycerol-3-phosphate dehydrogenase [NAD(P)+] activity. Involved in intracellular accumulation of glycerol and protein import into peroxisome matrix. Located in cytosol; nucleus; and peroxisome. Human ortholog(s) of this gene implicated in Brugada syndrome 2. Orthologous to human GPD1 (glycerol-3-phosphate dehydrogenase 1) and GPD1L (glycerol-3-phosphate dehydrogenase 1 like). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
UGP1,4.00423190808255,10.3788985648571,46.5174025878939,1.10658500086249e-14,7.06247138328238e-12,24.279825229581,"UDP-glucose pyrophosphorylase (UGPase); catalyses the reversible formation of UDP-Glc from glucose 1-phosphate and UTP, involved in a wide variety of metabolic pathways, expression modulated by Pho85p through Pho4p; involved in PKA-mediated oxidative stress resistance and long-term survival in stationary phase; UGP1 has a paralog, YHL012W, that arose from the whole genome duplication [Source:SGD;Acc:S000001518]",UGP1,"Enables UTP:glucose-1-phosphate uridylyltransferase activity. Involved in UDP-alpha-D-glucose metabolic process and carbohydrate biosynthetic process. Located in cytoplasmic stress granule and plasma membrane. Used to study cancer. Human ortholog(s) of this gene implicated in developmental and epileptic encephalopathy 83. Orthologous to human UGP2 (UDP-glucose pyrophosphorylase 2). [provided by Alliance of Genome Resources, Jul 2025]","Enables UTP:glucose-1-phosphate uridylyltransferase activity. Involved in UDP-alpha-D-glucose metabolic process and carbohydrate biosynthetic process. Located in cytoplasmic stress granule and plasma membrane. Used to study cancer. Human ortholog(s) of this gene implicated in developmental and epileptic encephalopathy 83. Orthologous to human UGP2 (UDP-glucose pyrophosphorylase 2). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
HSP82,4.43526189134614,8.48281640008862,45.9646704361077,1.27243148066658e-14,7.30884642494886e-12,24.1271817601854,"Hsp90 chaperone; redundant in function with Hsc82p; required for pheromone signaling, negative regulation of Hsf1p; docks with Tom70p for mitochondrial preprotein delivery; promotes telomerase DNA binding, nucleotide addition; protein abundance increases in response to DNA replication stress; contains two acid-rich unstructured regions that promote solubility of chaperone-substrate complexes; HSP82 has a paralog, HSC82, that arose from the whole genome duplication [Source:SGD;Acc:S000006161]",HSP82,"Enables ATP hydrolysis activity and unfolded protein binding activity. Involved in several processes, including positive regulation of telomere maintenance via telomerase; protein folding; and protein-containing complex assembly. Located in cytoplasm and nucleus. Human ortholog(s) of this gene implicated in multiple sclerosis. Orthologous to several human genes including HSP90AB1 (heat shock protein 90 alpha family class B member 1). [provided by Alliance of Genome Resources, Jul 2025]","Enables ATP hydrolysis activity and unfolded protein binding activity. Involved in several processes, including positive regulation of telomere maintenance via telomerase; protein folding; and protein-containing complex assembly. Located in cytoplasm and nucleus. Human ortholog(s) of this gene implicated in multiple sclerosis. Orthologous to several human genes including HSP90AB1 (heat shock protein 90 alpha family class B member 1). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
EMI2,6.77554175012749,7.53758925610383,44.7274505059018,1.75004410214089e-14,8.12596780934424e-12,23.6099299046355,"Non-essential protein of unknown function; required for transcriptional induction of the early meiotic-specific transcription factor IME1; required for sporulation; expression regulated by glucose-repression transcription factors Mig1/2p; EMI2 has a paralog, GLK1, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000002924]",EMI2,"Enables hexokinase activity. Involved in hexose metabolic process. Located in cytoplasm. Human ortholog(s) of this gene implicated in several diseases, including Charcot-Marie-Tooth disease type 4G; anemia (multiple); artery disease (multiple); glucose metabolism disease (multiple); and hematologic cancer (multiple). Orthologous to several human genes including GCK (glucokinase). [provided by Alliance of Genome Resources, Apr 2025]","Enables hexokinase activity. Involved in hexose metabolic process. Located in cytoplasm. Human ortholog(s) of this gene implicated in several diseases, including Charcot-Marie-Tooth disease type 4G; anemia (multiple); artery disease (multiple); glucose metabolism disease (multiple); and hematologic cancer (multiple). Orthologous to several human genes including GCK (glucokinase). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
ADH5,7.13282194957972,6.54272928684025,42.8949276392502,2.85222297701607e-14,9.10176043332238e-12,22.7656868384876,"Alcohol dehydrogenase isoenzyme V; involved in ethanol production; ADH5 has a paralog, ADH1, that arose from the whole genome duplication [Source:SGD;Acc:S000000349]",ADH5,"Enables S-(hydroxymethyl)glutathione dehydrogenase [NAD(P)+] activity; alcohol dehydrogenase (NAD+) activity; and hydroxymethylfurfural reductase (NADH) activity. Involved in amino acid catabolic process to alcohol via Ehrlich pathway; formaldehyde catabolic process; and furaldehyde metabolic process. Located in mitochondrion. Human ortholog(s) of this gene implicated in AMED syndrome; alcohol dependence; asthma; late onset Parkinson's disease; and pancreatic cancer. Orthologous to several human genes including ADH1B (alcohol dehydrogenase 1B (class I), beta polypeptide) and ADH5 (alcohol dehydrogenase 5 (class III), chi polypeptide). [provided by Alliance of Genome Resources, Jul 2025]","Enables S-(hydroxymethyl)glutathione dehydrogenase [NAD(P)+] activity; alcohol dehydrogenase (NAD+) activity; and hydroxymethylfurfural reductase (NADH) activity. Involved in amino acid catabolic process to alcohol via Ehrlich pathway; formaldehyde catabolic process; and furaldehyde metabolic process. Located in mitochondrion. Human ortholog(s) of this gene implicated in AMED syndrome; alcohol dependence; asthma; late onset Parkinson's disease; and pancreatic cancer. Orthologous to several human genes including ADH1B (alcohol dehydrogenase 1B (class I), beta polypeptide) and ADH5 (alcohol dehydrogenase 5 (class III), chi polypeptide). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
NNR2,5.06245576196137,6.92636976787987,43.2317862575833,2.6033016543318e-14,9.10176043332238e-12,23.307589006412,Widely-conserved NADHX dehydratase; converts (S)-NADHX to NADH in ATP-dependent manner; YKL151C promoter contains STREs (stress response elements) and expression is induced by heat shock or methyl methanesulfonate; downstream intergenic region drives antisense expression and mediates coordinated regulation of YKL151C and GPM1 phosphoglycerate mutase; protein abundance increases in response to DNA replication stress; homolog of Carkd in mammals and C-terminus of YjeF in E.coli [Source:SGD;Acc:S000001634],NNR2,"Enables ATP-dependent NAD(P)H-hydrate dehydratase activity. Involved in nicotinamide nucleotide metabolic process. Located in cytoplasm. Orthologous to human NAXD (NAD(P)HX dehydratase). [provided by Alliance of Genome Resources, Jul 2025]","Enables ATP-dependent NAD(P)H-hydrate dehydratase activity. Involved in nicotinamide nucleotide metabolic process. Located in cytoplasm. Orthologous to human NAXD (NAD(P)HX dehydratase). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
ERO1,4.09270632927174,8.95328595672514,43.0237070543121,2.7541387423304e-14,9.10176043332238e-12,23.3914150994013,Thiol oxidase required for oxidative protein folding in the ER; essential for maintaining ER redox balance; feedback regulated via reduction and oxidation of regulatory bonds; reduced Pdi1p activates Ero1p by direct reduction of Ero1p regulatory bonds; depletion of thiol substrates and accumulation of oxidized Pdi1p results in inactivation of Ero1p by both Pdi1p-mediated oxidation and autonomous oxidation of Ero1p regulatory bonds; ero1-1 mutation complemented by human ERO1L [Source:SGD;Acc:S000004599],ERO1,"Enables thiol oxidase activity. Involved in protein folding in endoplasmic reticulum. Located in endoplasmic reticulum. Orthologous to human ERO1A (endoplasmic reticulum oxidoreductase 1 alpha) and ERO1B (endoplasmic reticulum oxidoreductase 1 beta). [provided by Alliance of Genome Resources, Jul 2025]","Enables thiol oxidase activity. Involved in protein folding in endoplasmic reticulum. Located in endoplasmic reticulum. Orthologous to human ERO1A (endoplasmic reticulum oxidoreductase 1 alpha) and ERO1B (endoplasmic reticulum oxidoreductase 1 beta). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
HSP78,5.52291534591339,6.47506029748471,42.0381718515506,3.60956130204674e-14,1.0366660059478199e-11,22.8651595713294,Oligomeric mitochondrial matrix chaperone; cooperates with Ssc1p in mitochondrial thermotolerance after heat shock; able to prevent the aggregation of misfolded proteins as well as resolubilize protein aggregates [Source:SGD;Acc:S000002666],HSP78,"Enables ATP hydrolysis activity and misfolded protein binding activity. Involved in several processes, including protein refolding; protein stabilization; and protein unfolding. Located in mitochondrial matrix. Human ortholog(s) of this gene implicated in 3-methylglutaconic aciduria type 7a; 3-methylglutaconic aciduria type 7b; and severe congenital neutropenia. Orthologous to human CLPB (ClpB family mitochondrial disaggregase). [provided by Alliance of Genome Resources, Jul 2025]","Enables ATP hydrolysis activity and misfolded protein binding activity. Involved in several processes, including protein refolding; protein stabilization; and protein unfolding. Located in mitochondrial matrix. Human ortholog(s) of this gene implicated in 3-methylglutaconic aciduria type 7a; 3-methylglutaconic aciduria type 7b; and severe congenital neutropenia. Orthologous to human CLPB (ClpB family mitochondrial disaggregase). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YMR196W,6.71976355198617,6.6173517094757,41.4942095508297,4.20205163046463e-14,1.07387416571169e-11,22.5799464872675,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YMR196W is not an essential gene [Source:SGD;Acc:S000004809],YMR196W,"Predicted to enable Glc3Man9GlcNAc2 oligosaccharide glucosidase activity. Predicted to act upstream of or within oligosaccharide metabolic process. Located in cytoplasm. [provided by Alliance of Genome Resources, Apr 2025]","Predicted to enable Glc3Man9GlcNAc2 oligosaccharide glucosidase activity. Predicted to act upstream of or within oligosaccharide metabolic process. Located in cytoplasm. [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
YDL124W,5.49844649066528,6.44153944197795,41.3711671370766,4.35021188373414e-14,1.07387416571169e-11,22.6931830757279,"NADPH-dependent alpha-keto amide reductase; reduces aromatic alpha-keto amides, aliphatic alpha-keto esters, and aromatic alpha-keto esters; member of the aldo-keto reductase (AKR) family; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000002282]",YDL124W,"Enables aldose reductase (NADPH) activity; alpha-keto amide reductase activity; and alpha-ketoester reductase (NADPH) activity. Involved in cellular response to oxidative stress and ketone metabolic process. Located in cytoplasm; nucleus; and plasma membrane. [provided by Alliance of Genome Resources, Jul 2025]","Enables aldose reductase (NADPH) activity; alpha-keto amide reductase activity; and alpha-ketoester reductase (NADPH) activity. Involved in cellular response to oxidative stress and ketone metabolic process. Located in cytoplasm; nucleus; and plasma membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
TPS1,4.87754522604732,8.75721228897864,40.8821737931787,4.99756010331512e-14,1.1040763551323899e-11,22.7987685986296,"Synthase subunit of trehalose-6-P synthase/phosphatase complex; synthesizes the storage carbohydrate trehalose, which is critically important for survival of long-term desiccation; also found in a monomeric form; expression is induced by the stress response and repressed by the Ras-cAMP pathway; protein abundance increases in response to DNA replication stress and in response to prolonged exposure to boric acid [Source:SGD;Acc:S000000330]",TPS1,"Enables trehalose-phosphatase activity. Contributes to alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity. Involved in cellular response to desiccation and trehalose biosynthetic process. Located in cytoplasm. Part of alpha,alpha-trehalose-phosphate synthase complex (UDP-forming). [provided by Alliance of Genome Resources, Jul 2025]","Enables trehalose-phosphatase activity. Contributes to alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity. Involved in cellular response to desiccation and trehalose biosynthetic process. Located in cytoplasm. Part of alpha,alpha-trehalose-phosphate synthase complex (UDP-forming). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
TPS2,4.05597172680303,7.98890602779157,40.7277852141673,5.2230919537732205e-14,1.1111644512027198e-11,22.7518958021649,Phosphatase subunit of the trehalose-6-P synthase/phosphatase complex; involved in synthesis of the storage carbohydrate trehalose; expression is induced by stress conditions and repressed by the Ras-cAMP pathway; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000002481],TPS2,"Enables trehalose-phosphatase activity. Involved in cellular response to nitrogen starvation; positive regulation of autophagy; and trehalose biosynthetic process. Located in mitochondrion. Part of alpha,alpha-trehalose-phosphate synthase complex (UDP-forming). [provided by Alliance of Genome Resources, Jul 2025]","Enables trehalose-phosphatase activity. Involved in cellular response to nitrogen starvation; positive regulation of autophagy; and trehalose biosynthetic process. Located in mitochondrion. Part of alpha,alpha-trehalose-phosphate synthase complex (UDP-forming). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
