Gene,Description,Function_Summary,KEGG_Terms,GO_Terms
HSP104,"Enables several functions, including ATP hydrolysis activity; adenyl ribonucleotide binding activity; and unfolded protein binding activity. Involved in several processes, including cellular heat acclimation; protein folding; and protein unfolding. Located in cytoplasm and nuclear periphery. Part of TRC complex. Human ortholog(s) of this gene implicated in 3-methylglutaconic aciduria type 7a; 3-methylglutaconic aciduria type 7b; and severe congenital neutropenia. Orthologous to human CLPB (ClpB family mitochondrial disaggregase). [provided by Alliance of Genome Resources, Apr 2025]","Enables several functions, including ATP hydrolysis activity; adenyl ribonucleotide binding activity; and unfolded protein binding activity. Involved in several processes, including cellular heat acclimation; protein folding; and protein unfolding. Located in cytoplasm and nuclear periphery. Part of TRC complex. Human ortholog(s) of this gene implicated in 3-methylglutaconic aciduria type 7a; 3-methylglutaconic aciduria type 7b; and severe congenital neutropenia. Orthologous to human CLPB (ClpB family mitochondrial disaggregase). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
UBI4,"Enables protein tag activity. Involved in protein ubiquitination. Located in peroxisome. Orthologous to human UBC (ubiquitin C). [provided by Alliance of Genome Resources, Jul 2025]","Enables protein tag activity. Involved in protein ubiquitination. Located in peroxisome. Orthologous to human UBC (ubiquitin C). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
PGM2,"Enables phosphoglucomutase activity. Involved in several processes, including UDP-alpha-D-glucose metabolic process; carbohydrate biosynthetic process; and glucose 1-phosphate metabolic process. Located in cytoplasm. Used to study congenital disorder of glycosylation It. Human ortholog(s) of this gene implicated in congenital disorder of glycosylation It; endometrial cancer; and teratoma. Orthologous to several human genes including PGM5 (phosphoglucomutase 5). [provided by Alliance of Genome Resources, Jul 2025]","Enables phosphoglucomutase activity. Involved in several processes, including UDP-alpha-D-glucose metabolic process; carbohydrate biosynthetic process; and glucose 1-phosphate metabolic process. Located in cytoplasm. Used to study congenital disorder of glycosylation It. Human ortholog(s) of this gene implicated in congenital disorder of glycosylation It; endometrial cancer; and teratoma. Orthologous to several human genes including PGM5 (phosphoglucomutase 5). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
GPD1,"Enables glycerol-3-phosphate dehydrogenase [NAD(P)+] activity. Involved in intracellular accumulation of glycerol and protein import into peroxisome matrix. Located in cytosol; nucleus; and peroxisome. Human ortholog(s) of this gene implicated in Brugada syndrome 2. Orthologous to human GPD1 (glycerol-3-phosphate dehydrogenase 1) and GPD1L (glycerol-3-phosphate dehydrogenase 1 like). [provided by Alliance of Genome Resources, Jul 2025]","Enables glycerol-3-phosphate dehydrogenase [NAD(P)+] activity. Involved in intracellular accumulation of glycerol and protein import into peroxisome matrix. Located in cytosol; nucleus; and peroxisome. Human ortholog(s) of this gene implicated in Brugada syndrome 2. Orthologous to human GPD1 (glycerol-3-phosphate dehydrogenase 1) and GPD1L (glycerol-3-phosphate dehydrogenase 1 like). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
UGP1,"Enables UTP:glucose-1-phosphate uridylyltransferase activity. Involved in UDP-alpha-D-glucose metabolic process and carbohydrate biosynthetic process. Located in cytoplasmic stress granule and plasma membrane. Used to study cancer. Human ortholog(s) of this gene implicated in developmental and epileptic encephalopathy 83. Orthologous to human UGP2 (UDP-glucose pyrophosphorylase 2). [provided by Alliance of Genome Resources, Jul 2025]","Enables UTP:glucose-1-phosphate uridylyltransferase activity. Involved in UDP-alpha-D-glucose metabolic process and carbohydrate biosynthetic process. Located in cytoplasmic stress granule and plasma membrane. Used to study cancer. Human ortholog(s) of this gene implicated in developmental and epileptic encephalopathy 83. Orthologous to human UGP2 (UDP-glucose pyrophosphorylase 2). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
HSP82,"Enables ATP hydrolysis activity and unfolded protein binding activity. Involved in several processes, including positive regulation of telomere maintenance via telomerase; protein folding; and protein-containing complex assembly. Located in cytoplasm and nucleus. Human ortholog(s) of this gene implicated in multiple sclerosis. Orthologous to several human genes including HSP90AB1 (heat shock protein 90 alpha family class B member 1). [provided by Alliance of Genome Resources, Jul 2025]","Enables ATP hydrolysis activity and unfolded protein binding activity. Involved in several processes, including positive regulation of telomere maintenance via telomerase; protein folding; and protein-containing complex assembly. Located in cytoplasm and nucleus. Human ortholog(s) of this gene implicated in multiple sclerosis. Orthologous to several human genes including HSP90AB1 (heat shock protein 90 alpha family class B member 1). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
EMI2,"Enables hexokinase activity. Involved in hexose metabolic process. Located in cytoplasm. Human ortholog(s) of this gene implicated in several diseases, including Charcot-Marie-Tooth disease type 4G; anemia (multiple); artery disease (multiple); glucose metabolism disease (multiple); and hematologic cancer (multiple). Orthologous to several human genes including GCK (glucokinase). [provided by Alliance of Genome Resources, Apr 2025]","Enables hexokinase activity. Involved in hexose metabolic process. Located in cytoplasm. Human ortholog(s) of this gene implicated in several diseases, including Charcot-Marie-Tooth disease type 4G; anemia (multiple); artery disease (multiple); glucose metabolism disease (multiple); and hematologic cancer (multiple). Orthologous to several human genes including GCK (glucokinase). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
ADH5,"Enables S-(hydroxymethyl)glutathione dehydrogenase [NAD(P)+] activity; alcohol dehydrogenase (NAD+) activity; and hydroxymethylfurfural reductase (NADH) activity. Involved in amino acid catabolic process to alcohol via Ehrlich pathway; formaldehyde catabolic process; and furaldehyde metabolic process. Located in mitochondrion. Human ortholog(s) of this gene implicated in AMED syndrome; alcohol dependence; asthma; late onset Parkinson's disease; and pancreatic cancer. Orthologous to several human genes including ADH1B (alcohol dehydrogenase 1B (class I), beta polypeptide) and ADH5 (alcohol dehydrogenase 5 (class III), chi polypeptide). [provided by Alliance of Genome Resources, Jul 2025]","Enables S-(hydroxymethyl)glutathione dehydrogenase [NAD(P)+] activity; alcohol dehydrogenase (NAD+) activity; and hydroxymethylfurfural reductase (NADH) activity. Involved in amino acid catabolic process to alcohol via Ehrlich pathway; formaldehyde catabolic process; and furaldehyde metabolic process. Located in mitochondrion. Human ortholog(s) of this gene implicated in AMED syndrome; alcohol dependence; asthma; late onset Parkinson's disease; and pancreatic cancer. Orthologous to several human genes including ADH1B (alcohol dehydrogenase 1B (class I), beta polypeptide) and ADH5 (alcohol dehydrogenase 5 (class III), chi polypeptide). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
NNR2,"Enables ATP-dependent NAD(P)H-hydrate dehydratase activity. Involved in nicotinamide nucleotide metabolic process. Located in cytoplasm. Orthologous to human NAXD (NAD(P)HX dehydratase). [provided by Alliance of Genome Resources, Jul 2025]","Enables ATP-dependent NAD(P)H-hydrate dehydratase activity. Involved in nicotinamide nucleotide metabolic process. Located in cytoplasm. Orthologous to human NAXD (NAD(P)HX dehydratase). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
ERO1,"Enables thiol oxidase activity. Involved in protein folding in endoplasmic reticulum. Located in endoplasmic reticulum. Orthologous to human ERO1A (endoplasmic reticulum oxidoreductase 1 alpha) and ERO1B (endoplasmic reticulum oxidoreductase 1 beta). [provided by Alliance of Genome Resources, Jul 2025]","Enables thiol oxidase activity. Involved in protein folding in endoplasmic reticulum. Located in endoplasmic reticulum. Orthologous to human ERO1A (endoplasmic reticulum oxidoreductase 1 alpha) and ERO1B (endoplasmic reticulum oxidoreductase 1 beta). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
