"","logFC","AveExpr","t","P.Value","adj.P.Val","B","description"
"TFC3",1.21157274044918,5.21270566171464,11.1514425596745,1.33962587953107e-07,5.08579712625675e-07,7.53057551760483,"Subunit of RNA polymerase III transcription initiation factor complex; part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC) [Source:SGD;Acc:S000000001]"
"VPS8",1.33648917266695,5.77750120356267,12.4182538313051,4.15076149155993e-08,1.78993798855257e-07,8.69085126248198,"Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif [Source:SGD;Acc:S000000002]"
"SSA1",2.63382475258622,11.9221564119334,28.0172504884297,4.04789736456591e-12,1.20673640423616e-10,18.3552735422955,"ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions, vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils [Source:SGD;Acc:S000000004]"
"ERP2",1.04572769532298,8.03172203736592,12.6629602155748,3.34988957349179e-08,1.48930075155858e-07,8.74909932387692,"Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication [Source:SGD;Acc:S000000005]"
"FUN14",1.92030655904751,3.48954450771459,10.3873654606975,2.87085359621302e-07,1.00194420878931e-06,7.1123394547422,"Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes, such as alterations in mitochondrial morphology, protein complex assembly, and lipid profile; dosage suppressor of MDM12, MDM34, and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p, the TOM complex, and the TIM23 complex, requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis [Source:SGD;Acc:S000000006]"
"PSK1",2.53333915443717,6.78441953783392,23.7931824463079,2.6741590047681e-11,4.33908737948812e-10,16.4163726876193,"PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication [Source:SGD;Acc:S000000015]"
"FRT2",3.45465595675338,2.82282848423203,12.6615235120848,3.35407276376399e-08,1.49000726643932e-07,9.44982053175442,"Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication [Source:SGD;Acc:S000000026]"
"GIP4",1.4772105461999,5.19354557765059,12.114281688984,5.44525598808032e-08,2.26648915909662e-07,8.50350188165006,"Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate [Source:SGD;Acc:S000000029]"
"FUN19",2.03881043748109,5.23752882200593,15.3228955680802,4.02190593724583e-09,2.31481239514429e-08,11.2852727900582,"Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog, YOR338W, that arose from the whole genome duplication [Source:SGD;Acc:S000002134]"
"ACS1",1.05919535199719,3.78037199570497,6.53190106904654,3.10880394106804e-05,6.87864785727844e-05,2.04792941706237,"Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions [Source:SGD;Acc:S000000050]"
