Gene,NCBI_Gene_ID,Description,Function,GO_Terms,KEGG_Terms
TFC3,851262,N/A,"Contributes to DNA binding activity, bending; RNA polymerase III type 1 promoter sequence-specific DNA binding activity; and RNA polymerase III type 2 promoter sequence-specific DNA binding activity. Involved in 5S class rRNA transcription by RNA polymerase III and protein localization to chromatin. Located in mitochondrion. Part of transcription factor TFIIIC complex. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
VPS8,851261,N/A,"Enables GTPase binding activity and protein-membrane adaptor activity. Involved in late endosome to vacuole transport via multivesicular body sorting pathway and protein targeting to vacuole. Located in late endosome and membrane. Part of CORVET complex. Orthologous to human VPS8 (VPS8 subunit of CORVET complex). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
SSA1,851259,N/A,"Enables ATP hydrolysis activity; tRNA binding activity; and unfolded protein binding activity. Involved in several processes, including establishment of protein localization to organelle; gene expression; and protein-containing complex disassembly. Located in fungal-type cell wall; fungal-type vacuole membrane; and nucleus. Human ortholog(s) of this gene implicated in several diseases, including Kawasaki disease; artery disease (multiple); autoimmune disease of musculoskeletal system (multiple); neurodegenerative disease (multiple); and schizophrenia (multiple). Orthologous to several human genes including HSPA1L (heat shock protein family A (Hsp70) member 1 like); HSPA1A (heat shock protein family A (Hsp70) member 1A); and HSPA1B (heat shock protein family A (Hsp70) member 1B). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
ERP2,851226,N/A,"Involved in endoplasmic reticulum to Golgi vesicle-mediated transport and protein retention in ER lumen. Located in COPII-coated ER to Golgi transport vesicle. Orthologous to several human genes including TMED1 (transmembrane p24 trafficking protein 1). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
FUN14,851225,N/A,"Involved in mitochondrion organization and phospholipid homeostasis. Located in mitochondrial outer membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
PSK1,851216,N/A,"Enables protein serine/threonine kinase activity. Involved in negative regulation of glycogen biosynthetic process and regulation of (1->6)-beta-D-glucan biosynthetic process. Located in cytoplasm. Orthologous to human PASK (PAS domain containing serine/threonine kinase). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
FRT2,851205,N/A,"Involved in cellular response to alkaline pH and cellular response to salt stress. Acts upstream of or within post-translational protein targeting to membrane, translocation. Located in endoplasmic reticulum. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
GIP4,851202,N/A,"Enables protein phosphatase 1 binding activity and protein phosphatase regulator activity. Involved in chromosome segregation. Located in cytoplasm. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
FUN19,851199,N/A,"Predicted to enable chromatin binding activity and transcription coactivator activity. Predicted to be involved in chromatin remodeling and regulation of transcription by RNA polymerase II. Predicted to act upstream of or within positive regulation of DNA-templated transcription. Predicted to be part of Rpd3L-Expanded complex. Predicted to be active in nucleus. [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
ACS1,851245,N/A,"Enables acetate-CoA ligase activity and acid-ammonia (or amide) ligase activity. Involved in acetate fermentation and acetyl-CoA biosynthetic process. Located in cytosol. Human ortholog(s) of this gene implicated in orofacial cleft. Orthologous to several human genes including ACSS1 (acyl-CoA synthetase short chain family member 1). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
